State,Post office abbreviation,2-digit ANSI code,1960,1970,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1990,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2000,2000,2001,2002,2003,2004,2005,2006,2007,2008
United States,U.S.,00,179323,203302,226546,229466,231664,233792,235825,237924,240133,242289,244499,246819,248718,248791,249623,252981,256514,259919,263126,266278,269394,272647,275854,279040,281422,281425,282172,285040,287727,290211,292892,295561,298363,301290,304060
Northeast,0,0,44677,49061,49135,49271,49334,49536,49719,49870,50071,50302,50584,50757,50811,50828,50917,51167,51448,51778,52036,52278,52513,52745,53023,53344,53594,53595,53667,53911,54134,54319,54460,54531,54628,54762,54925
Midwest,0,0,51619,56590,58866,58912,58783,58692,58775,58819,58847,59017,59253,59469,59669,59669,59789,60339,60929,61484,61971,62473,62945,63345,63716,64100,64393,64395,64493,64806,65058,65299,65566,65785,66048,66313,66561
South,0,0,54973,62813,75372,76964,78302,79448,80418,81409,82431,83208,83890,84698,85454,85456,85796,87226,88704,90218,91749,93249,94717,96245,97722,99164,100237,100236,100558,101839,103125,104339,105745,107244,108717,110335,111719
West,0,0,28053,34838,43172,44319,45246,46114,46915,47827,48787,49761,50769,51894,52784,52837,53121,54249,55434,56438,57370,58278,59219,60312,61393,62432,63198,63199,63454,64484,65408,66253,67121,68000,68971,69881,70855
Alabama,AL,01,3267,3444,3894,3919,3925,3934,3952,3973,3992,4015,4024,4030,4040,4040,4050,4099,4154,4214,4260,4297,4331,4368,4405,4430,4447,4447,4452,4463,4470,4487,4507,4537,4588,4627,4662
Alaska,AK,02,226,303,402,418,450,488,514,532,544,539,542,547,550,550,553,570,589,599,603,604,609,613,620,625,627,627,627,633,642,650,661,669,676,681,686
Arizona,AZ,04,1302,1775,2718,2810,2890,2969,3067,3184,3308,3437,3535,3622,3665,3665,3684,3789,3916,4065,4245,4432,4587,4737,4883,5024,5131,5131,5167,5304,5449,5586,5750,5961,6178,6353,6500
Arkansas,AR,05,1786,1923,2286,2293,2294,2306,2320,2327,2332,2342,2343,2346,2351,2351,2357,2383,2416,2456,2494,2535,2572,2601,2626,2652,2673,2673,2678,2690,2702,2718,2740,2769,2804,2831,2855
