State,Post office abbreviation,2-digit ANSI code,1960 (April),1970 (April),1980 (April),1981 (July),1982 (July),1983 (July),1984 (July),1985 (July),1986 (July),1987 (July),1988 (July),1989 (July),1990 (April),1990 (April),1990 (July),1991 (July),1992 (July),1993 (July),1994 (July),1995 (July),1996 (July),1997 (July),1998 (July),1999 (July),2000 (April),2000 (April),2000 (July),2001 (July),2002 (July),2003 (July),2004 (July),2005 (July),2006 (July),2007 (July),2008 (July)
United States,  U.S.,00,"179,323","203,302","226,546","229,466","231,664","233,792","235,825","237,924","240,133","242,289","244,499","246,819","248,718","248,791","249,623","252,981","256,514","259,919","263,126","266,278","269,394","272,647","275,854","279,040","281,422","281,425","282,172","285,040","287,727","290,211","292,892","295,561","298,363","301,290","304,060"
Northeast,(X),(X),"44,677","49,061","49,135","49,271","49,334","49,536","49,719","49,870","50,071","50,302","50,584","50,757","50,811","50,828","50,917","51,167","51,448","51,778","52,036","52,278","52,513","52,745","53,023","53,344","53,594","53,595","53,667","53,911","54,134","54,319","54,460","54,531","54,628","54,762","54,925"
Midwest,(X),(X),"51,619","56,590","58,866","58,912","58,783","58,692","58,775","58,819","58,847","59,017","59,253","59,469","59,669","59,669","59,789","60,339","60,929","61,484","61,971","62,473","62,945","63,345","63,716","64,100","64,393","64,395","64,493","64,806","65,058","65,299","65,566","65,785","66,048","66,313","66,561"
South,(X),(X),"54,973","62,813","75,372","76,964","78,302","79,448","80,418","81,409","82,431","83,208","83,890","84,698","85,454","85,456","85,796","87,226","88,704","90,218","91,749","93,249","94,717","96,245","97,722","99,164","100,237","100,236","100,558","101,839","103,125","104,339","105,745","107,244","108,717","110,335","111,719"
West,(X),(X),"28,053","34,838","43,172","44,319","45,246","46,114","46,915","47,827","48,787","49,761","50,769","51,894","52,784","52,837","53,121","54,249","55,434","56,438","57,370","58,278","59,219","60,312","61,393","62,432","63,198","63,199","63,454","64,484","65,408","66,253","67,121","68,000","68,971","69,881","70,855"
Alabama ,AL,01,"3,267","3,444","3,894","3,919","3,925","3,934","3,952","3,973","3,992","4,015","4,024","4,030","4,040","4,040","4,050","4,099","4,154","4,214","4,260","4,297","4,331","4,368","4,405","4,430","4,447","4,447","4,452","4,463","4,470","4,487","4,507","4,537","4,588","4,627","4,662"
Alaska ,AK,02,226,303,402,418,450,488,514,532,544,539,542,547,550,550,553,570,589,599,603,604,609,613,620,625,627,627,627,633,642,650,661,669,676,681,686
Arizona ,AZ,04,"1,302","1,775","2,718","2,810","2,890","2,969","3,067","3,184","3,308","3,437","3,535","3,622","3,665","3,665","3,684","3,789","3,916","4,065","4,245","4,432","4,587","4,737","4,883","5,024","5,131","5,131","5,167","5,304","5,449","5,586","5,750","5,961","6,178","6,353","6,500"
Arkansas ,AR,05,"1,786","1,923","2,286","2,293","2,294","2,306","2,320","2,327","2,332","2,342","2,343","2,346","2,351","2,351","2,357","2,383","2,416","2,456","2,494","2,535","2,572","2,601","2,626","2,652","2,673","2,673","2,678","2,690","2,702","2,718","2,740","2,769","2,804","2,831","2,855"
California ,CA,06,"15,717","19,971","23,668","24,286","24,820","25,360","25,844","26,441","27,102","27,777","28,464","29,218","29,758","29,811","29,960","30,471","30,975","31,275","31,484","31,697","32,019","32,486","32,988","33,499","33,872","33,872","33,999","34,507","34,916","35,307","35,630","35,885","36,121","36,378","36,757"
Colorado ,CO,08,"1,754","2,210","2,890","2,978","3,062","3,134","3,170","3,209","3,237","3,260","3,262","3,276","3,294","3,294","3,308","3,387","3,496","3,614","3,724","3,827","3,920","4,018","4,117","4,226","4,301","4,302","4,328","4,432","4,503","4,548","4,600","4,663","4,751","4,843","4,939"
