State,post_office_abrev,area_code,fips_code,tot_square_mile,tot_square_kilom,land_square_mile,land_square_kilom,water_total_square_mile,water_total_square_kilom,inland_square_mile,coastal_square_mile,great_lakes_square_mile,territoraial_square_mile
Alabama,AL,1000,1,52420,135768,50644,131168,1776,4600,1057,518,0,201
Alaska,AK,2000,2,664988,1722319,570665,1478022,94323,244297,20028,28162,0,46133
Arizona,AZ,4000,4,113990,295235,113595,294211,396,1026,396,0,0,0
Arkansas,AR,5000,5,53178,137732,52030,134758,1149,2976,1149,0,0,0
California,CA,6000,6,163694,423967,155766,403434,7928,20534,2842,222,0,4864
Colorado,CO,8000,8,104094,269604,103641,268430,454,1176,454,0,0,0
Connecticut,CT,9000,9,5544,14358,4840,12536,703,1821,164,539,0,0
Delaware,DE,10000,10,2489,6445,1949,5048,539,1396,74,372,0,93
Florida,FL,12000,12,65758,170312,53603,138832,12154,31479,5373,1128,0,5653
Georgia,GA,13000,13,59425,153911,57501,148928,1924,4983,1420,49,0,455
Hawaii,HI,15000,15,10926,28300,6428,16649,4499,11652,40,0,0,4459
Idaho,ID,16000,16,83568,216442,82643,214045,926,2398,926,0,0,0
Illinois,IL,17000,17,57916,150002,55518,143792,2398,6211,836,0,1562,0
Indiana,IN,18000,18,36417,94321,35823,92782,594,1538,361,0,233,0
Iowa,IA,19000,19,56273,145746,55858,144672,415,1075,415,0,0,0
Kansas,KS,20000,20,82278,213101,81762,211764,516,1336,516,0,0,0
Kentucky,KY,21000,21,40411,104665,39492,102284,919,2380,919,0,0,0
Louisiana,LA,22000,22,51988,134649,43199,111885,8789,22764,4433,1951,0,2405
Maine,ME,23000,23,35384,91644,30841,79878,4543,11766,2282,613,0,1647
Maryland,MD,24000,24,12406,32131,9705,25136,2700,6993,736,1854,0,111
Massachusetts,MA,25000,25,10554,27336,7801,20205,2754,7133,461,977,0,1316
Michigan,MI,26000,26,96713,250486,56528,146408,40185,104079,2164,0,38021,0
Minnesota,MN,27000,27,86935,225163,79607,206182,7328,18980,4782,0,2546,0
Mississippi,MS,28000,28,48432,125438,46920,121523,1512,3916,772,591,0,149
Missouri,MO,29000,29,69702,180529,68716,177974,987,2556,987,0,0,0
Montana,MT,30000,30,147039,380831,145541,376951,1498,3880,1498,0,0,0
Nebraska,NE,31000,31,77349,200334,76825,198977,524,1357,524,0,0,0
Nevada,NV,32000,32,110572,286382,109780,284330,792,2051,792,0,0,0
New Hampshire,NH,33000,33,9348,24210,8952,23186,396,1026,328,0,0,68
New Jersey,NJ,34000,34,8723,22592,7354,19047,1369,3546,458,402,0,509
New Mexico,NM,35000,35,121590,314919,121297,314159,293,759,293,0,0,0
New York,NY,36000,36,54555,141298,47126,122056,7429,19241,1979,977,3990,482
North Carolina,NC,37000,37,53819,139391,48619,125923,5200,13468,4044,0,0,1157
North Dakota,ND,38000,38,70698,183109,69001,178713,1697,4395,1697,0,0,0
Ohio,OH,39000,39,44825,116097,40858,105822,3967,10275,467,0,3500,0
Oklahoma,OK,40000,40,69899,181038,68603,177682,1296,3357,1296,0,0,0
Oregon,OR,41000,41,98379,254801,95985,248601,2394,6200,1063,74,0,1256
Pennsylvania,PA,42000,42,46055,119281,44739,115874,1316,3408,567,0,749,0
Rhode Island,RI,44000,44,1545,4001,1034,2678,511,1323,187,9,0,315
South Carolina,SC,45000,45,32021,82934,30070,77881,1951,5053,1044,74,0,832
South Dakota,SD,46000,46,77116,199730,75811,196350,1305,3380,1305,0,0,0
Tennessee,TN,47000,47,42144,109154,41235,106799,910,2357,910,0,0,0
Texas,TX,48000,48,268597,695666,261226,676575,7371,19091,5607,406,0,1358
Utah,UT,49000,49,84897,219883,82191,212875,2706,7009,2706,0,0,0
Vermont,VT,50000,50,9616,24906,9217,23872,400,1036,400,0,0,0
Virginia,VA,51000,51,42775,110787,39493,102287,3282,8500,1106,1729,0,447
Washington,WA,53000,53,71298,184661,66449,172103,4849,12559,1646,2537,0,666
West Virginia,WV,54000,54,24230,62755,24038,62258,192,497,192,0,0,0
Wisconsin,WI,55000,55,65496,169636,54154,140259,11342,29376,1984,0,9358,0
Wyoming,WY,56000,56,97812,253334,97088,251458,724,1875,724,0,0,0
